name,group
Dustin Johnson,1
Justin Rose,1
Rory McIlroy,1
Brooks Koepka,1
Justin Thomas,1
Bryson DeChambeau,1
Francesco Molinari,1
Rickie Fowler,1
Jon Rahm,1
Xander Schauffele,1
Paul Casey,2
Tiger Woods,2
Tommy Fleetwood,2
Jason Day,2
Tony Finau,2
Matt Kuchar,2
Bubba Watson,2
Patrick Reed,2
Marc Leishman,2
Louis Oosthuizen,2
Patrick Cantlay,2
Phil Mickelson,2
Gary Woodland,2
Webb Simpson,2
Kevin Kisner,2
Hideki Matsuyama,3
Sergio Garcia,3
Cameron Smith,3
Adam Scott,3
Alexander Noren,3
Rafael Cabrera-Bello,3
Jordan Spieth,3
Ian Poulter,3
Keegan Bradley,3
Matthew Fitzpatrick,3
Matt Wallace,3
Tyrrell Hatton,3
Hao-Tong Li,3
Henrik Stenson,3
Eddie Pepperell,3
Billy Horschel,3
Kiradech Aphibarnrat,3
Lucas Bjerregaard,3
Branden Grace,3
J.B. Holmes,3
Charles Howell,3
Kyle Stanley,3
Justin Harding,3
Shane Lowry,3
Brandt Snedeker,3
Thorbjorn Olesen,4
Kevin Na,4
Emiliano Grillo,4
Keith Mitchell,4
Si Woo Kim,4
Satoshi Kodaira,4
Aaron Wise,4
Shugo Imahira,4
Danny Willett,4
Zach Johnson,4
Charley Hoffman,4
Stewart Cink,4
Patton Kizzire,4
Kevin Tway,4
Charl Schwartzel,4
Jimmy Walker,4
Adam Long,4
Andrew Landry,4
Martin Kaymer,4
Corey Conners,4
Devon Bling,4
Sandy Lyle,4
Kevin OConnell,4
Vijay Singh,4
Ian Woosnam,4
Alvaro Ortiz,4
Angel Cabrera,4
Takumi Kanaya,4
Jose Maria Olazabal,4
Fred Couples,4
Trevor Immelman,4
Viktor Hovland,4
Michael Kim,4
Bernhard Langer,4
Larry Mize,4
Mark OMeara,4
Jovan Rebula,4
Mike Weir,4
