"First","Last","group"
"Austin","Cook",4
"Doc","Redman",4
"Doug","Ghim",4
"Dylan","Frittelli",3
"Haotong","Li",3
"Harry","Ellis",4
"Joaquin","Niemann",4
"Lin","Yuxin",4
"Matt","Parziale",4
"Patton","Kizzire",4
"Satoshi","Kodaira",3
"Shubanhkar","Sharma",4
"Tony","Finau",3
"Wesley","Bryan",4
"Xander","Schauffele",3
"Yusaku","Miyazato",4
"Yuta","Ikdea",4
